Recipient.Organization,deliverychannels
Serbia,Public Sector
Bosnia & Herzegovina,Public Sector
Independent Commission for Human Rights,NGOs and CSOs
Programa de ReducciÛn del Riesgo de Desastres,Public Sector
Community Appraisal & Motivation Program,NGOs and CSOs
Frontier Primary Health Care,NGOs and CSOs
Prime Foundation,NGOs and CSOs
Participatory Educational Awareness and Community Empowerment,Other
Society for Human Emancipation and Development,NGOs and CSOs
Pakistan Village Development Program,NGOs and CSOs
Ayuda en AcciÛn,NGOs and CSOs
Saint Vincent and the Grenadines,Public Sector
Interchurch Medical Assistance World Health,NGOs and CSOs
Burundi Red Cross,RCRC
Cameroon Red Cross Society,RCRC
United Nations Mission in Ethiopia and Eritrea,UN Multi
Uganda,Public Sector
UN Action Against Sexual Violence in Conflict,UN Multi
Japan Agency for Development and Emergency,NGOs and CSOs
SDGs Promise Japan,NGOs and CSOs
Japan Center for Conflict Prevention,NGOs and CSOs
Moroccan Red Crescent,RCRC
Morocco,Public Sector
Universal Rights Group,NGOs and CSOs
International Bank for Reconstruction & Development (World Bank),UN Multi
Stiftelsen Litteraturhuset,NGOs and CSOs
FAFO,NGOs and CSOs
OXFAM/Community Aid Abroad (OXFAM-Australia),NGOs and CSOs
Sagric Intenational Pty Ltd,Other
CARE Australia,NGOs and CSOs
APHEDA,NGOs and CSOs
AUSTCARE - Australian Care for Refugees,NGOs and CSOs
Australian Community Assistance Scheme,Public Sector
Australia,Public Sector
Colombian Red Cross Society,RCRC
Australians Care for Refugees,NGOs and CSOs
Vanuatu,Public Sector
Tonga,Public Sector
Tonga Red Cross Society,RCRC
Afghanistan Humanitarian Fund,UN Multi
Caritas Norway,NGOs and CSOs
World Vision Australia,NGOs and CSOs
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,NGOs and CSOs
Atlas Alliance,NGOs and CSOs
SHIFT,Other
Institute for Human Rights and Business,NGOs and CSOs
Human Rights Foundation,NGOs and CSOs
WEF - World Editors Forum,NGOs and CSOs
Demos Institute,NGOs and CSOs
International Dalit Solidarity Network,NGOs and CSOs
National Council of Churches in Australia,NGOs and CSOs
Just Peace Initiatives,NGOs and CSOs
Youth Resource Centre,Other
VNG International,NGOs and CSOs
Light for the World,NGOs and CSOs
Agence Humanitaire Africaine,NGOs and CSOs
Olympic Aid,NGOs and CSOs
Almassar Charity organization for Nomadís Development and Environmental Conservation,NGOs and CSOs
Misericordia International Center Day Care,Other
Bienvenu Refugee Shelter,NGOs and CSOs
Global Aid Hand,NGOs and CSOs
Peace Bridge Association,NGOs and CSOs
SEEMA Center for Training and Protection of Women and Child's Rights,NGOs and CSOs
Vet-Care Organization,NGOs and CSOs
Center for Applied Linguistics,NGOs and CSOs
CIVIC (Valid until August 2012),Other
Costa Rica,Public Sector
Indonesian Red Crescent Society,RCRC
Institut EuropÈen de CoopÈration et de DÈveloppement,NGOs and CSOs
Syria Sanad,NGOs and CSOs
Mouvement non violent syrien,NGOs and CSOs
SWEFOR - Swedish Fellowship of Reconciliation,NGOs and CSOs
CARE Luxembourg,NGOs and CSOs
Swedish Mission Council,NGOs and CSOs
FundaciÛn AcciÛn Contra el Hambre,NGOs and CSOs
FundaciÛn Halu Bienestar Humano,NGOs and CSOs
Afghanistan Center for Training and Development,NGOs and CSOs
Humanitarian Africa Relief Development Organization,NGOs and CSOs
Hidig Relief And Development Organization,Other
HealthNet International Transcultural Psychosocial Organization,NGOs and CSOs
Somali Development and Rehabilitation Organisation,NGOs and CSOs
Mission East,NGOs and CSOs
Freedom of Expression and of Association,NGOs and CSOs
Buddhistforbundet,NGOs and CSOs
United Nations Development Fund for Women,UN Multi
Pharmaciens sans FrontiËres (France),NGOs and CSOs
Cairo Institute for Human Rights Studies,NGOs and CSOs
Masar,NGOs and CSOs
Lebanese Institute for Democracy and Human Rights,NGOs and CSOs
Community Media Network,NGOs and CSOs
Forced Migration Review,NGOs and CSOs
Framtiden i vÂre hender,NGOs and CSOs
Child Rights Information Network,NGOs and CSOs
La AsociaciÛn Minga,NGOs and CSOs
World Council of Churches,NGOs and CSOs
Noor Al Hussein Foundation,NGOs and CSOs
"Association for Forests, Development and Conservation",NGOs and CSOs
RenÈ Moawad Foundation,NGOs and CSOs
Emmanuel International,NGOs and CSOs
Palestine Red Crescent Society,RCRC
SPHERE,NGOs and CSOs
Fida International,NGOs and CSOs
MÈdicos del Mundo Argentina,NGOs and CSOs
Groupe unifiÈ pour l'Èpanouissement des enfants et pour le dÈveloppement d'Haiti,NGOs and CSOs
Perspectives pour la SantÈ et le DÈveloppement,Other
Hopital Albert Schweitzer,Other
GHESKIO Centers,NGOs and CSOs
Fondation pour le DÈveloppement et l'Encadrement des Familles Haitiennes,NGOs and CSOs
SHASSMEPPE,NGOs and CSOs
St. Boniface Haiti Foundation,NGOs and CSOs
SHARE,Other
Center for Research on the Epidemiology of Disasters,NGOs and CSOs
"Information Technology Outreach Services, U of Georgia",NGOs and CSOs
Farm Community Trust of Zimbabwe,NGOs and CSOs
Tides Center,NGOs and CSOs
Southern African Development Community,Other multi
Lesotho Ministry of Agriculture and CARE Lesotho,Public Sector
Sama Al-Yemen Development Foundation,NGOs and CSOs
National Foundation for Development and Human Rights,NGOs and CSOs
Mekong River Commission,Other multi
Programme de Promotion de Soins de SantÈ Primaires (PPSSP),Other
Lutherian World Fund,NGOs and CSOs
Heartland Alliance International,NGOs and CSOs
World Relief Corporation,NGOs and CSOs
Centers for Disease Control,Public Sector
Center for Womenís Legal Research and Consulting,NGOs and CSOs
Lebanese Association for Development Al Majmoua,NGOs and CSOs
VsF (CH) / PACE,Other
ELIMU,Other
Coordination Of Rehabilitation Services For Afghanistan,NGOs and CSOs
Operation Mercy,NGOs and CSOs
Taghyeer,NGOs and CSOs
"Groupe antiraciste díaccompagnement, et de defense des Ètrangers et migrants",NGOs and CSOs
France Terre díAsile,NGOs and CSOs
Helvetas Swiss Intercooperation,NGOs and CSOs
Association de Lutte Contre le Sida,NGOs and CSOs
International Civil Defense Organisation,Other multi
Hebrew Immigrant Aid Society,NGOs and CSOs
United Israel Appeal,NGOs and CSOs
Liberia,Public Sector
Relationships Foundation International,NGOs and CSOs
"Karolinska Institutet, Department of Public Health Sciences",NGOs and CSOs
John Dau Foundation,NGOs and CSOs
Internews,NGOs and CSOs
Food Security Network,NGOs and CSOs
Wakachiai Project,Other
Civic Coalition for Palestinian Rights in Jerusalem,NGOs and CSOs
Syria Cross-border Humanitarian Fund,UN Multi
Centers for Disease Control Foundation,NGOs and CSOs
Airlink,Other
Liberian Red Cross Society,RCRC
Plan Liberia,NGOs and CSOs
AsociaciÛn SalvadoreÒa de Ayuda Humanitaria,NGOs and CSOs
Ukraine,Public Sector
Shafaq Rehabilitation Organization (SHA),Other
Italian Red Cross,RCRC
Medshare,NGOs and CSOs
Ebola Response Multi-Partner Trust Fund,Other multi
Population Services International,NGOs and CSOs
Centre de Support en SantÈ Internationale,NGOs and CSOs
NetHope,NGOs and CSOs
International Humanitarian Partnership,Other multi
Norwegian Medical Association,NGOs and CSOs
African Union,Other multi
The Danish-Ethiopian Joint Initiative,Other
DSI - Danish Council of Organizations of Disabled People,NGOs and CSOs
Danish Powerlines,Other
Basic Awareness Rehabilitation & Networking,Other
Hayat Foundation,NGOs and CSOs
Initiative for Development and Empowerment Axis,NGOs and CSOs
Poverty Eradication Initiative,NGOs and CSOs
ACT Alliance / SolidaritÈ Protestante,NGOs and CSOs
Partners in Health,NGOs and CSOs
Ukrainian Red Cross Society,RCRC
Nigeria,Public Sector
International Renaissance Foundation,NGOs and CSOs
Latvian Red Cross,RCRC
GlobalGiving,NGOs and CSOs
Direct Relief,NGOs and CSOs
Asamblea De Cooperacion Por La Paz,NGOs and CSOs
Sawa Organization,NGOs and CSOs
Union of Health Work Committees,NGOs and CSOs
Americares,NGOs and CSOs
Resident Coordinators Support Office,UN Multi
Action Chretienne pour combattre la pauvretre et l'analphabetisme,NGOs and CSOs
JHPIEGO,NGOs and CSOs
John Hopkins Center for Communication Programs,NGOs and CSOs
Education Development Center,NGOs and CSOs
PARCIC,NGOs and CSOs
Clinton Health Access Initiative,NGOs and CSOs
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,NGOs and CSOs
Metta Development Foundation,NGOs and CSOs
Innovative Humanitarian Solutions,NGOs and CSOs
German Doctors e.V.,NGOs and CSOs
Lebanon Humanitarian Fund,UN Multi
Jordan Humanitarian Fund,UN Multi
Medicus Mundi,NGOs and CSOs
Jubbalandese Charity Centre,NGOs and CSOs
UN Foundation,NGOs and CSOs
YME Foundation,NGOs and CSOs
Planete Urgence,NGOs and CSOs
La chaine de l'espoir,NGOs and CSOs
Instituto Dominicano de Desarrollo Integral,NGOs and CSOs
The Competitiveness,Other
Protecting Through Education,NGOs and CSOs
Handicap International USA,NGOs and CSOs
Global Network for Disaster Reduction,NGOs and CSOs
World Neighbors,NGOs and CSOs
Centro de Estudios y Prevencion de Desastres,NGOs and CSOs
Women's Education Partnership,NGOs and CSOs
Cambodian Red Cross,RCRC
Land O'Lakes,Other
Nepal Red Cross Society,RCRC
International Procurement Agency,Other
Georgia,Public Sector
Louvain-Developpement,NGOs and CSOs
Women's Refugee Commission,NGOs and CSOs
Management Sciences for Health,NGOs and CSOs
Red Cross of Serbia,RCRC
The Cuny Center,NGOs and CSOs
John Snow International,Other
Care Peru,NGOs and CSOs
Nile Hope Development Forum,NGOs and CSOs
Management Systems International,Other
Hungarian Baptist  Aid Organisation,NGOs and CSOs
Islamic Center Society,NGOs and CSOs
International Dispensary Association,NGOs and CSOs
irshad and islah society lebanon,NGOs and CSOs
Alber Charity Society,Other
Yemen Medical Charitable Society,NGOs and CSOs
dawa Islamic organization,NGOs and CSOs
Tompran Foundation,NGOs and CSOs
Qatar Charity,NGOs and CSOs
Africa Solidarity Trust Fund,Other multi
Cote d'Ivoire,Public Sector
ComitÈ d'Aide MÈdicale,NGOs and CSOs
Ockenden International,NGOs and CSOs
Share Association of Guatemala,Other
A.I.M.E! International e.V. (Deutschland),NGOs and CSOs
Hope in Action,NGOs and CSOs
SAFDF,Other
CARGOMA,Other
CARE-UK,NGOs and CSOs
NCA+partners,NGOs and CSOs
Heart to Heart International,NGOs and CSOs
Urgence SolidaritÈ Syrie,NGOs and CSOs
Nigerian Red Cross Society,RCRC
"GeoLogistics Services, Inc.",Other
Transfair/Trans Group Express,Other
WTB International Development,Other
VENRO,NGOs and CSOs
Eagle Global Logistics,Other
SOS Sahel International,NGOs and CSOs
Social Services Program,NGOs and CSOs
Community Development Organization,NGOs and CSOs
Bent-e-Hawa Peace and Development Organization,NGOs and CSOs
SWIFT RONCO,Other
Rebuild and Relief International NGO gGmbH,NGOs and CSOs
United States Agency for International Development,Public Sector
Siriri,NGOs and CSOs
National Democratic Institute,NGOs and CSOs
Panalpina Airfreight Incorporated,Other
Logenix,Other
Air Charter World,Other
BBC Media Action,NGOs and CSOs
Medical Teams International,NGOs and CSOs
Camp Dresser and McKee Incorporated,Other
UN Mission for Ebola Emergency Response,UN Multi
Airline Cargo Service,Other
The Carter Centre,NGOs and CSOs
Jamaica,Public Sector
FICASE,NGOs and CSOs
Africa Development Corps,NGOs and CSOs
ONG Actions,Other
"Organization for Refuge, Asylum and Migration",NGOs and CSOs
The Equal Rights Trust,NGOs and CSOs
Jordan Engineering Association,Other
Asylum Access,NGOs and CSOs
Christian Outreach Relief and Development,NGOs and CSOs
The Tibet Fund,NGOs and CSOs
Salesian Missions,NGOs and CSOs
Inter Cooperation,NGOs and CSOs
Grupo Col. - Suisse,Other
Humanitarian Policy and Conflict Research,NGOs and CSOs
CAIPA,Other multi
New South Wales Relief Fund,Public Sector
Malaysia,Public Sector
Saudi Arabian Red Crescent Society,RCRC
National Federation of UNESCO Association in Japan,NGOs and CSOs
Plan Canada,NGOs and CSOs
ACT Alliance / Lutheran World Federation Nepal,NGOs and CSOs
Relief Pakistan,NGOs and CSOs
Women Empowerment Organization,NGOs and CSOs
"IHH-Humanitarian Relief Foundation, Turkey",NGOs and CSOs
Life for Relief and Development,NGOs and CSOs
Zamzam Foundation,NGOs and CSOs
"Association pour la SolidaritÈ, le DÈveloppement et l'IntÈgration Sociale",NGOs and CSOs
Eid Charity,NGOs and CSOs
SOS Villages d'Enfants,NGOs and CSOs
Medica Mondiale,NGOs and CSOs
Public Health Initiative Liberia,NGOs and CSOs
"Swift Creative, Inc.",Other
OAP,Other
Pakistan Red Crescent Society,RCRC
Operation Lifeline Sudan,Other
Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),NGOs and CSOs
Hirondelle Radio Okapi,NGOs and CSOs
World Vision Relief and Development  Inc.,NGOs and CSOs
VitalitÈ Plus,NGOs and CSOs
Women's Evangelical Association of Bossangoa,NGOs and CSOs
Association Centrafricaine pour le DÈveloppement Economique et Social,NGOs and CSOs
Association des Cadres Musulmans de Centrafrique,NGOs and CSOs
International Foundation for Election Systems,NGOs and CSOs
Danish Mission Council Development,NGOs and CSOs
National Radio Appeal,Other
Emergency ONG,NGOs and CSOs
Pakistan Humanitarian Forum (consortium),NGOs and CSOs
Institute for War and Peace Reporting,NGOs and CSOs
Reach Vulnerable,Other
Germany,Public Sector
Reach Out Initiative,NGOs and CSOs
Cambodian Mine Action Centre,NGOs and CSOs
Croatia,Public Sector
Mexico,Public Sector
Suwannimit Foundation,NGOs and CSOs
Pacific Islands Forum,Other multi
South Pacific Applied Geoscience Commission,Other multi
Paraguay,Public Sector
Makassed Philanthropic Islamic Association of Beirut,NGOs and CSOs
Mission Ost - DNK,NGOs and CSOs
Stiftung St. Barbara,NGOs and CSOs
OXFAM Ireland,NGOs and CSOs
Madagascar,Public Sector
"International Nothilfe e.V., Coswig",NGOs and CSOs
Japan Platform,Other
Refugee Consortium of Kenya,NGOs and CSOs
Association pour le ProgrËs et la DÈfense des Droits des Femmes,Other
Palestinian Farmers Association,NGOs and CSOs
People Empowerment & Consulting Enterprise,NGOs and CSOs
DAC - Danish Afghan Committee,NGOs and CSOs
NGO Security Programme,NGOs and CSOs
InformAction,NGOs and CSOs
Child Rights Connect,NGOs and CSOs
Crisis Action,NGOs and CSOs
Nova - Centre per la InnovaciÛ Social / NOVACT,NGOs and CSOs
Peace Brigades International,NGOs and CSOs
World Vision Vanuatu,NGOs and CSOs
Associazione Internazionale Volontari Laici,NGOs and CSOs
AssistÍncia MÈdica Internacional (AMI),NGOs and CSOs
SADEL,Other
Japan International Volunteer Center,NGOs and CSOs
New Zealand Red Cross,RCRC
OXFAM Australia,NGOs and CSOs
Christian Solidarity International,NGOs and CSOs
Business & Human Rights Resource Centre,NGOs and CSOs
Arab Agronomist Association,NGOs and CSOs
Tamer Institute for Community Education,NGOs and CSOs
Palestinian Medical Relief Society,NGOs and CSOs
Doctors of the World,NGOs and CSOs
Tuvalu,Public Sector
International Civil Aviation Organisation,UN Multi
National Oceanic and Atmospheric Administration,Public Sector
International Rice Research Institute,NGOs and CSOs
Health Communication Capacity Collaborative,NGOs and CSOs
Polish Humanitarian Organisation,NGOs and CSOs
Foyer des Jeunes de Morne l'Hopital,NGOs and CSOs
Nepal,Public Sector
"Micronesia,  Federated States of",Public Sector
Chile,Public Sector
CARE Nepal,NGOs and CSOs
Eng Oppen Hand fir Malawi,NGOs and CSOs
Action pour un Monde Uni,NGOs and CSOs
Japan Campaign for Children of Palestine,NGOs and CSOs
Kachin Baptist Convention,NGOs and CSOs
Myanmar Health Assistant Association,NGOs and CSOs
Opportunities Industrialisation Centres International,NGOs and CSOs
Himalayan Trust Nepal,NGOs and CSOs
Association of Christian Resource Organizations Serving Sudan,NGOs and CSOs
Global Network of Civil Society Orgs,NGOs and CSOs
Network on Humanitarian Assistance,NGOs and CSOs
Enfants du Monde,NGOs and CSOs
World Vision Pakistan,NGOs and CSOs
Start Fund,NGOs and CSOs
ActionAid International Nepal,NGOs and CSOs
ACT Alliance / Lutheran World Relief (LWR/Canada),NGOs and CSOs
PACTEC,NGOs and CSOs
FORUT,NGOs and CSOs
DIGNI,NGOs and CSOs
Atlasalliansen,NGOs and CSOs
Development Fund,NGOs and CSOs
Association pour le dÈveloppement de M'Bres,NGOs and CSOs
Association des Femmes pour la Promotion de l'Entreprenariat,NGOs and CSOs
Action for Development,NGOs and CSOs
Advocates Coalition for Rights and Development,NGOs and CSOs
Joint Aid Management International,NGOs and CSOs
Sign of Hope,NGOs and CSOs
Fangak Community Development Initiative,NGOs and CSOs
Foundation for the Refugee Trust,NGOs and CSOs
Community in Need Aid,NGOs and CSOs
Impact Health Organization,NGOs and CSOs
Shelter Now International,NGOs and CSOs
Triyog Trust NZ,NGOs and CSOs
MRCA - Medical Refresher Course for Afghan,NGOs and CSOs
Food for the Hungry International,NGOs and CSOs
Partner Aid International e.V.,NGOs and CSOs
SWIFT - Society for Worldwide Interbank Financial Telecommunication,Other
El Salvador,Public Sector
Famine Early Warning Sytem,NGOs and CSOs
Air Serv International,NGOs and CSOs
Swiss Disaster Relief Unit,Public Sector
MAGNA Medical and Nutrition Global Aid,NGOs and CSOs
United Nations Assistance Mission for Afghanistan,UN Multi
Near East Council of Churches in Gaza,NGOs and CSOs
Africa Centre for Holistic Management,NGOs and CSOs
Chemonics International Inc.,Other
German Toilet Organization e.V.,NGOs and CSOs
International Network for Environmental Management,NGOs and CSOs
Professionals in Humanitarian Assistance and Protection,NGOs and CSOs
War Torn Societies,UN Multi
Organization for Voluntary Humanitarian Assistance Programme,NGOs and CSOs
National Demining Units Organization,NGOs and CSOs
Rural Focus,NGOs and CSOs
Sudanese Organization for Relief and Recovery (formerly Sudanese Organization for Rehabilitation and Construction),NGOs and CSOs
Turath Organization for Human Development,NGOs and CSOs
GeoForschungsZentrum Potsdam,NGOs and CSOs
Bundesanstalt Technisches Hilfswerk,Public Sector
Buddhist Tzu Chi Foundation,NGOs and CSOs
National Democratic Institute for International Affairs/International Republican Institute,Other
Health Equity Initiatives Sdn Bhd,NGOs and CSOs
Parlement des Jeunes Rwandais,NGOs and CSOs
Seeds of Peace,NGOs and CSOs
International Eurasia Press Fund,NGOs and CSOs
Academy for Educational Development,NGOs and CSOs
Creative Association Inc.,Other
"Christian Children's Fund, USA",NGOs and CSOs
World University Service,NGOs and CSOs
MapAction,NGOs and CSOs
ACT Alliance / Finnchurchaid/ Mines Advisory Group,NGOs and CSOs
American Friends Service Committee,NGOs and CSOs
Libya,Public Sector
NOVIB,NGOs and CSOs
Abs Development for Women and Children,NGOs and CSOs
"Comoros Red Crescent, The",RCRC
War Child,NGOs and CSOs
Heifer International,NGOs and CSOs
Christian Children's Fund of Canada,NGOs and CSOs
Pearl of Africa Environment,NGOs and CSOs
Wethaq Foundation for Civil Orientation,NGOs and CSOs
Association Medina,NGOs and CSOs
Fondation Hirondelle,NGOs and CSOs
Div. Assoc.,Other
Afkar Society for Development and Human Relief,NGOs and CSOs
AMAR International Charitable Foundation,NGOs and CSOs
Rescue South Africa,NGOs and CSOs
Khartoum Teaching Hospital,NGOs and CSOs
Human Moral Care,NGOs and CSOs
Hungary,Public Sector
Academy Charity Teaching Hospital,NGOs and CSOs
Global 2000 of the Carter Centre,NGOs and CSOs
Myanmar Red Cross Society,RCRC
GKST - Presbyterian Christian Church of Central Sulawesi,NGOs and CSOs
Aktion Afrika Hilfe,NGOs and CSOs
One Step Further,NGOs and CSOs
NGOs | UN Agencies | Red Cross Organizations,Other
Care for Children and Old Age in South Sudan,NGOs and CSOs
GFZ German Research Centre,NGOs and CSOs
Egyptian Red Crescent Society,RCRC
Caribbean Disaster Emergency Management Agency,Other multi
Dominica Red Cross Society,RCRC
Associate in Community Development,NGOs and CSOs
Khwendo Kor,NGOs and CSOs
Education Health Social Awareness and Rehabilitation,NGOs and CSOs
Society for Human and Environmental Development,NGOs and CSOs
Support Agency for Rural and Human Associationís Development,NGOs and CSOs
FundaciÛn Plan,NGOs and CSOs
Stiftung KARIBU Kinderhilfe,NGOs and CSOs
UN Women's Guild,UN Multi
Remedial English and Science Course Centre,NGOs and CSOs
Rockefeller Foundation,NGOs and CSOs
Norsk Journalistlag,Other
TERMA FOUNDATION,NGOs and CSOs
Union of Sudan African Parties,Other multi
Intergov Authority on Development,Other multi
Reform Society,Other
World Assembly of Muslim Youth,NGOs and CSOs
Yemen Red Crescent Society,RCRC
Swedish Free Mission,NGOs and CSOs
United Nations Global Pulse,UN Multi
Rotary Club of Shanghai,NGOs and CSOs
Somalia Resilience Program,NGOs and CSOs
United Nations Institute for Disarmament Research,UN Multi
Norwegian Capacity,NGOs and CSOs
African Initatives for Relief and Development,NGOs and CSOs
IHRA,Other multi
The Dui Hua Foundation,NGOs and CSOs
Kyrgyzstan,Public Sector
Pharmaciens sans frontiËres (PSF),NGOs and CSOs
Association Agropastorale de NDA,NGOs and CSOs
ACBAR - Agency Coordinating Body for Afghan Relief,NGOs and CSOs
Vetwork Services Trust,Other
Secretariado Diocesano de Pastoral Social,NGOs and CSOs
GlobalMedic,NGOs and CSOs
The Israel Forum for International Humanitarian Aid,NGOs and CSOs
Architectes de l'urgence,NGOs and CSOs
Real Medicine Foundation,NGOs and CSOs
Pan American Development Foundation,NGOs and CSOs
International Islamic Relief Organization,NGOs and CSOs
Yemeni Social Reform Society,Other
The SEEP Network,NGOs and CSOs
Geohazards International,NGOs and CSOs
Fashoda Youth Forum,NGOs and CSOs
UN Department of Economic and Social Affairs,UN Multi
American Jewish Joint Distribution Committee,NGOs and CSOs
Action for Peace and Sustainable Development,NGOs and CSOs
Save Youth Future Society,NGOs and CSOs
EducAid Onlus,NGOs and CSOs
OVERSEAS-Onlus,NGOs and CSOs
Agricultural Development Association,NGOs and CSOs
Community Peace Fund,Other
Support to Life,NGOs and CSOs
Abdel Mohsen Qattan Foundation,NGOs and CSOs
World Vision Ethiopia,NGOs and CSOs
Monastery Saint James the Mutilated,NGOs and CSOs
ABAAD-Resource Center for Gender Equality,NGOs and CSOs
Rebuild Iraq Recruitment Program,NGOs and CSOs
"Rehabilitation, Education And Community Health",NGOs and CSOs
Gedo Women Development Organization,Other
Soul for Development,NGOs and CSOs
Association LRC,Other
Relief and Humanitarian Aid Organisation in Dar al Fatwa,NGOs and CSOs
Himaya Daee Aataa Association,NGOs and CSOs
Person in Need Relief Mission,NGOs and CSOs
Centre Libanais des Droits Humains,NGOs and CSOs
ASSABIL,NGOs and CSOs
Akkar Network for Development,NGOs and CSOs
Makhzoumi Foundation,NGOs and CSOs
Mena Organization for Services Advocacy integration and Capacity Building,NGOs and CSOs
Agency for Assistance and Development of Afghanistan,NGOs and CSOs
Organization for Research and Community Development,NGOs and CSOs
Rural Development Initiative South Sudan,NGOs and CSOs
Rural Community Action for Peace and Development,NGOs and CSOs
The National Institution of Social Care and Vocational Training,NGOs and CSOs
Community Development Association,NGOs and CSOs
Global Family,NGOs and CSOs
Tahaddi & Apprentis d'Auteuils,NGOs and CSOs
"Institute for Development, Research, Advocacy and Applied Care",NGOs and CSOs
Halte Aux Mines Antipersonnel,NGOs and CSOs
European Meeting Centre - Nowy Staw Foundation,NGOs and CSOs
Humanitarian Quality Assurance Initiative,NGOs and CSOs
Hujra Village Support Organization,NGOs and CSOs
Tunisian Red Crescent,RCRC
Ministry of Education and Higher Education,Public Sector
Human Appeal International (UAE),NGOs and CSOs
World Vision  Netherlands,NGOs and CSOs
United Nations Disaster Management Team,UN Multi
Jordanian National Commission for Women,Public Sector
U.S. Forest Service,Public Sector
Oman,Public Sector
Myanmar Heart Development Organization,NGOs and CSOs
Estonian Refugee Council,NGOs and CSOs
NGO Ukrainian Cultural Center,NGOs and CSOs
NGO Free Ukraine,NGOs and CSOs
Asociacion Ben por la Infancia,NGOs and CSOs
Brigadas Internacionales de Paz,NGOs and CSOs
Panama,Public Sector
Manos Unidas,NGOs and CSOs
FundaciÛn Ojos del Mundo,NGOs and CSOs
Centro de Estudios Rurales y de Agricultura Internacional,NGOs and CSOs
AsociaciÛn de Trabajadores y Tecnicos Sin Fronteras,NGOs and CSOs
Evangelisches Werk f¸r Diakonie und Entwicklung e.V.,NGOs and CSOs
Focus Humanitarian Assistance,NGOs and CSOs
AsociaciÛn ONGD Cives Mundi,NGOs and CSOs
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",NGOs and CSOs
Les Amis du Tibet,NGOs and CSOs
Friendship Luxembourg,NGOs and CSOs
Tajik Aid,NGOs and CSOs
Women Now for Development,NGOs and CSOs
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),Public Sector
Standard Alliance,NGOs and CSOs
Refugee Studies Centre,NGOs and CSOs
Association Help -Tchad pour le dÈveloppement,NGOs and CSOs
Caritas Niger/Caritas DÈveloppement Niger,NGOs and CSOs
Islamic Charity Society Center,NGOs and CSOs
Bahrain Islamic Association,NGOs and CSOs
Al-Gharaa Charity Organization,NGOs and CSOs
Islamic Medical Association,NGOs and CSOs
Build Change,NGOs and CSOs
Sharjah Charity House,NGOs and CSOs
Khalifa Bin Zayed Al Nahyan Foundation,NGOs and CSOs
ONGD - FNEL,NGOs and CSOs
Young Menís Christian Association,NGOs and CSOs
Basmeh and Zeitooneh for Relief and Development - G¸l¸mseme ve zeytin,NGOs and CSOs
Community Agribusiness Development Agency,NGOs and CSOs
Myanmar Nurse and Midwife Association,NGOs and CSOs
Palestinian Housing Council,NGOs and CSOs
Association for Integrated Rural Development,NGOs and CSOs
Ligue de la Zone Afrique pour la DÈfense des Droits des Enfants et ElËves,NGOs and CSOs
Association for Environment Management and Development,NGOs and CSOs
Association pour le DÈveloppement de Sila,Other
Centre d'Appui aux Initiatives de DÈveloppement Local,Other
"Mission 21, Basle",NGOs and CSOs
Solidarmed,NGOs and CSOs
SUKS - Schweizerisches Unterst¸tzungskomitee f¸r die Sahraouis,Other
Maison Shalom Ruyigi,NGOs and CSOs
United Nations Volunteers Programme,UN Multi
Hogar de Cristo Santiago,NGOs and CSOs
Leprosy Aid Switzerland,NGOs and CSOs
SDW,Other
Red Crescent Society of Tajikistan,RCRC
The New Humanitarian (formerly Integrated Regional Information Network),Other
Culture and Free Thought Association,NGOs and CSOs
Jiyan Foundation for Human Rights,NGOs and CSOs
TAJDID Iraq¬†Foundation for Economic Development,NGOs and CSOs
The United Iraqi Medical Society for Relief and Development,NGOs and CSOs
Al-Khanjar Foundation,NGOs and CSOs
Aman Jordanian Association,NGOs and CSOs
Jordan paramedic society,NGOs and CSOs
Syrian American Medical Society Foundation,NGOs and CSOs
Rwandan Red Cross,RCRC
International Commission for Human Development,NGOs and CSOs
International Maize and Wheat Improvement Center,NGOs and CSOs
UNICEF National Committee/Spain,UN Multi
OIP - Office of the Iraq Programme,Other multi
Greece,Public Sector
Waqf Alrahma Alkhairi,NGOs and CSOs
Kuwaiti Social Reform Society,NGOs and CSOs
Syrian Society for Social Development,NGOs and CSOs
Attaa Relief and Development,NGOs and CSOs
Union Relief Societies,NGOs and CSOs
Charity Abrar Society,NGOs and CSOs
Youth Society,NGOs and CSOs
ChrÈtiens pour le Sahel,NGOs and CSOs
International Campaign to Abolish Nuclear Weapons (ICAN),NGOs and CSOs
Japanese Organization for International Cooperation in Family Planning (JOICFP),NGOs and CSOs
LÈger Foundation,NGOs and CSOs
Japan,Public Sector
Buco Cotonou,Public Sector
Africa Relief Committee,Other
Association Elyed Eloulya pour líAide des Necessiteux et la Protection des Enfants,Other
Reach out Foundation for Human Development,Other
Sri Lankan Merciful,Other
Fondacioni Miresia,Other
Nurture and Reform Organization,Other
Society for Social & Technological Support,NGOs and CSOs
Islah Foundation For Society Development,NGOs and CSOs
Human Foundation for Social and Educational Development Inc.,NGOs and CSOs
Care and Social Development Organization,NGOs and CSOs
Svenska Missionsradet,NGOs and CSOs
Ramakrishna Mission,NGOs and CSOs
International Centre for Migration Policy Development,NGOs and CSOs
