Recipient.Organization,recipientcodename
Plan Sudan,NGOs
Solo Enviro Beautification,NGOs
Noon Charity Organization,NGOs
Plan Ireland,NGOs
Serbia,National government
Bosnia & Herzegovina,National government
Independent Commission for Human Rights,private individual/organisation
Programa de ReducciÛn del Riesgo de Desastres,National government
Community Appraisal & Motivation Program,NGOs
Frontier Primary Health Care,NGOs
Prime Foundation,NGOs
Participatory Educational Awareness and Community Empowerment,other
Society for Human Emancipation and Development,private individual/organisation
Pakistan Village Development Program,NGOs
Ayuda en AcciÛn,NGOs
Saint Vincent and the Grenadines,National government
Interchurch Medical Assistance World Health,NGOs
Burundi Red Cross,red cross
Cameroon Red Cross Society,Red Cross
United Nations Mission in Ethiopia and Eritrea,UN Multi
Uganda,National government
UN Action Against Sexual Violence in Conflict,UN Multi
Japan Agency for Development and Emergency,NGOs
SDGs Promise Japan,NGOs
Japan Center for Conflict Prevention,NGOs
Moroccan Red Crescent,red cross
Morocco,National government
Universal Rights Group,academia/think/research
International Bank for Reconstruction & Development (World Bank),UN Multi
Stiftelsen Litteraturhuset,private individual/organisation
FAFO,academia/think/research
OXFAM/Community Aid Abroad (OXFAM-Australia),NGOs
Sagric Intenational Pty Ltd,private sector corporations
CARE Australia,NGOs
APHEDA,NGOs
AUSTCARE - Australian Care for Refugees,NGOs
Australian Community Assistance Scheme,DAC governments
Australia,DAC governments
Colombian Red Cross Society,red cross
Australians Care for Refugees,NGOs
Vanuatu,National government
Tonga,National government
Tonga Red Cross Society,red cross
Afghanistan Humanitarian Fund,CBPF
Caritas Norway,NGOs
World Vision Australia,NGOs
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,academia/think/research
Atlas Alliance,NGOs
SHIFT,private sector corporations
Institute for Human Rights and Business,academia/think/research
Human Rights Foundation,NGOs
WEF - World Editors Forum,private individual/organisation
Demos Institute,academia/think/research
International Dalit Solidarity Network,NGOs
National Council of Churches in Australia,private individual/organisation
Just Peace Initiatives,NGOs
Youth Resource Centre,other
VNG International,private individual/organisation
Light for the World,NGOs
Agence Humanitaire Africaine,NGOs
Olympic Aid,NGOs
Almassar Charity organization for Nomadís Development and Environmental Conservation,NGOs
Misericordia International Center Day Care,other
Bienvenu Refugee Shelter,NGOs
Global Aid Hand,NGOs
Peace Bridge Association,NGOs
SEEMA Center for Training and Protection of Women and Child's Rights,NGOs
Vet-Care Organization,NGOs
Center for Applied Linguistics,academia/think/research
CIVIC (Valid until August 2012),other
Costa Rica,National government
Indonesian Red Crescent Society,red cross
Institut EuropÈen de CoopÈration et de DÈveloppement,NGOs
Syria Sanad,NGOs
Mouvement non violent syrien,NGOs
SWEFOR - Swedish Fellowship of Reconciliation,private individual/organisation
CARE Luxembourg,NGOs
Swedish Mission Council,NGOs
FundaciÛn AcciÛn Contra el Hambre,NGOs
FundaciÛn Halu Bienestar Humano,NGOs
Afghanistan Center for Training and Development,NGOs
Humanitarian Africa Relief Development Organization,private individual/organisation
Hidig Relief And Development Organization,Undefined
HealthNet International Transcultural Psychosocial Organization,NGOs
Somali Development and Rehabilitation Organisation,NGOs
Mission East,NGOs
Freedom of Expression and of Association,NGOs
Buddhistforbundet,NGOs
United Nations Development Fund for Women,UN Multi
Pharmaciens sans FrontiËres (France),NGOs
Cairo Institute for Human Rights Studies,NGOs
Masar,NGOs
Lebanese Institute for Democracy and Human Rights,NGOs
Community Media Network,NGOs
Forced Migration Review,academia/think/research
Framtiden i vÂre hender,NGOs
Child Rights Information Network,academia/think/research
La AsociaciÛn Minga,NGOs
World Council of Churches,private individual/organisation
Noor Al Hussein Foundation,foundations
"Association for Forests, Development and Conservation",NGOs
RenÈ Moawad Foundation,NGOs
Emmanuel International,NGOs
Palestine Red Crescent Society,red cross
SPHERE,academia/think/research
Fida International,NGOs
MÈdicos del Mundo Argentina,NGOs
Groupe unifiÈ pour l'Èpanouissement des enfants et pour le dÈveloppement d'Haiti,NGOs
Perspectives pour la SantÈ et le DÈveloppement,other
Hopital Albert Schweitzer,other
GHESKIO Centers,foundations
Fondation pour le DÈveloppement et l'Encadrement des Familles Haitiennes,foundations
SHASSMEPPE,NGOs
St. Boniface Haiti Foundation,foundations
SHARE,Undefined
Center for Research on the Epidemiology of Disasters,academia/think/research
"Information Technology Outreach Services, U of Georgia",academia/think/research
Farm Community Trust of Zimbabwe,NGOs
Tides Center,NGOs
Southern African Development Community,Other multi
Lesotho Ministry of Agriculture and CARE Lesotho,National government
Sama Al-Yemen Development Foundation,NGOs
National Foundation for Development and Human Rights,NGOs
Mekong River Commission,Other multi
Programme de Promotion de Soins de SantÈ Primaires (PPSSP),Undefined
Lutherian World Fund,NGOs
Heartland Alliance International,NGOs
World Relief Corporation,NGOs
Centers for Disease Control,DAC governments
Center for Womenís Legal Research and Consulting,academia/think/research
Lebanese Association for Development Al Majmoua,private individual/organisation
VsF (CH) / PACE,other
ELIMU,other
Coordination Of Rehabilitation Services For Afghanistan,NGOs
Operation Mercy,NGOs
Taghyeer,private individual/organisation
"Groupe antiraciste díaccompagnement, et de defense des Ètrangers et migrants",NGOs
France Terre díAsile,NGOs
Helvetas Swiss Intercooperation,NGOs
Association de Lutte Contre le Sida,private individual/organisation
International Civil Defense Organisation,Other multi
Hebrew Immigrant Aid Society,NGOs
United Israel Appeal,private individual/organisation
Liberia,National government
Relationships Foundation International,foundations
"Karolinska Institutet, Department of Public Health Sciences",academia/think/research
John Dau Foundation,NGOs
Internews,NGOs
Food Security Network,NGOs
Wakachiai Project,other
Civic Coalition for Palestinian Rights in Jerusalem,NGOs
Syria Cross-border Humanitarian Fund,CBPF
Centers for Disease Control Foundation,NGOs
Airlink,private sector corporations
Liberian Red Cross Society,red cross
Plan Liberia,NGOs
AsociaciÛn SalvadoreÒa de Ayuda Humanitaria,NGOs
Ukraine,National government
Shafaq Rehabilitation Organization (SHA),Undefined
Italian Red Cross,red cross
Medshare,NGOs
Ebola Response Multi-Partner Trust Fund,Other pooled
Population Services International,NGOs
Centre de Support en SantÈ Internationale,NGOs
NetHope,NGOs
International Humanitarian Partnership,Other multi
Norwegian Medical Association,private individual/organisation
African Union,Other multi
The Danish-Ethiopian Joint Initiative,other
DSI - Danish Council of Organizations of Disabled People,NGOs
Danish Powerlines,private sector corporations
Basic Awareness Rehabilitation & Networking,private sector corporations
Hayat Foundation,NGOs
Initiative for Development and Empowerment Axis,private individual/organisation
Poverty Eradication Initiative,private individual/organisation
ACT Alliance / SolidaritÈ Protestante,NGOs
Partners in Health,NGOs
Ukrainian Red Cross Society,red cross
Nigeria,National government
International Renaissance Foundation,foundations
Latvian Red Cross,red cross
GlobalGiving,NGOs
Direct Relief,NGOs
Asamblea De Cooperacion Por La Paz,NGOs
Sawa Organization,NGOs
Union of Health Work Committees,NGOs
Americares,NGOs
Resident Coordinators Support Office,UN Multi
Action Chretienne pour combattre la pauvretre et l'analphabetisme,NGOs
JHPIEGO,private individual/organisation
John Hopkins Center for Communication Programs,academia/think/research
Education Development Center,academia/think/research
PARCIC,NGOs
Clinton Health Access Initiative,private individual/organisation
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,NGOs
Metta Development Foundation,NGOs
Innovative Humanitarian Solutions,NGOs
German Doctors e.V.,NGOs
Lebanon Humanitarian Fund,CBPF
Jordan Humanitarian Fund,CBPF
Medicus Mundi,NGOs
Jubbalandese Charity Centre,NGOs
UN Foundation,foundations
YME Foundation,Undefined
Planete Urgence,NGOs
La chaine de l'espoir,NGOs
Instituto Dominicano de Desarrollo Integral,NGOs
The Competitiveness,other
Protecting Through Education,NGOs
Handicap International USA,NGOs
Global Network for Disaster Reduction,NGOs
World Neighbors,NGOs
Centro de Estudios y Prevencion de Desastres,NGOs
Women's Education Partnership,NGOs
Cambodian Red Cross,red cross
Land O'Lakes,private sector corporations
Nepal Red Cross Society,red cross
International Procurement Agency,private sector corporations
Georgia,National government
Louvain-Developpement,NGOs
Women's Refugee Commission,NGOs
Management Sciences for Health,NGOs
Red Cross of Serbia,red cross
The Cuny Center,academia/think/research
John Snow International,private sector corporations
Care Peru,NGOs
Nile Hope Development Forum,private individual/organisation
Management Systems International,private sector corporations
Hungarian Baptist  Aid Organisation,NGOs
Islamic Center Society,NGOs
International Dispensary Association,foundations
irshad and islah society lebanon,NGOs
Alber Charity Society,Other
Yemen Medical Charitable Society,NGOs
dawa Islamic organization,NGOs
Tompran Foundation,foundations
Qatar Charity,NGOs
Africa Solidarity Trust Fund,Other pooled
Cote d'Ivoire,National government
ComitÈ d'Aide MÈdicale,NGOs
Ockenden International,NGOs
Share Association of Guatemala,other
A.I.M.E! International e.V. (Deutschland),NGOs
Hope in Action,NGOs
SAFDF,Other
CARGOMA,private sector corporations
CARE-UK,NGOs
NCA+partners,NGOs
Heart to Heart International,NGOs
Urgence SolidaritÈ Syrie,NGOs
Nigerian Red Cross Society,red cross
"GeoLogistics Services, Inc.",private sector corporations
Transfair/Trans Group Express,private sector corporations
WTB International Development,private sector corporations
VENRO,NGOs
Eagle Global Logistics,private sector corporations
SOS Sahel International,NGOs
Social Services Program,NGOs
Community Development Organization,NGOs
Bent-e-Hawa Peace and Development Organization,NGOs
SWIFT RONCO,private sector corporations
Rebuild and Relief International NGO gGmbH,NGOs
United States Agency for International Development,DAC governments
Siriri,NGOs
National Democratic Institute,NGOs
Panalpina Airfreight Incorporated,private sector corporations
Logenix,private sector corporations
Air Charter World,private sector corporations
BBC Media Action,NGOs
Medical Teams International,NGOs
Camp Dresser and McKee Incorporated,private sector corporations
UN Mission for Ebola Emergency Response,UN Multi
Airline Cargo Service,private sector corporations
The Carter Centre,academia/think/research
Jamaica,National government
FICASE,foundations
Africa Development Corps,NGOs
ONG Actions,other
"Organization for Refuge, Asylum and Migration",academia/think/research
The Equal Rights Trust,private individual/organisation
Jordan Engineering Association,private sector corporations
Asylum Access,NGOs
Christian Outreach Relief and Development,NGOs
The Tibet Fund,foundations
Salesian Missions,private individual/organisation
Inter Cooperation,NGOs
Grupo Col. - Suisse,other
Humanitarian Policy and Conflict Research,academia/think/research
CAIPA,Other multi
New South Wales Relief Fund,DAC governments
Malaysia,National government
Saudi Arabian Red Crescent Society,red cross
National Federation of UNESCO Association in Japan,NGOs
Plan Canada,NGOs
ACT Alliance / Lutheran World Federation Nepal,NGOs
Relief Pakistan,NGOs
Women Empowerment Organization,NGOs
"IHH-Humanitarian Relief Foundation, Turkey",NGOs
Life for Relief and Development,NGOs
Zamzam Foundation,NGOs
"Association pour la SolidaritÈ, le DÈveloppement et l'IntÈgration Sociale",NGOs
Eid Charity,NGOs
SOS Villages d'Enfants,NGOs
Medica Mondiale,NGOs
Public Health Initiative Liberia,private individual/organisation
"Swift Creative, Inc.",private sector corporations
OAP,other
Pakistan Red Crescent Society,red cross
Operation Lifeline Sudan,other
Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),NGOs
Hirondelle Radio Okapi,foundations
World Vision Relief and Development  Inc.,NGOs
VitalitÈ Plus,NGOs
Women's Evangelical Association of Bossangoa,NGOs
Association Centrafricaine pour le DÈveloppement Economique et Social,NGOs
Association des Cadres Musulmans de Centrafrique,NGOs
International Foundation for Election Systems,foundations
Danish Mission Council Development,NGOs
National Radio Appeal,other
Emergency ONG,NGOs
Pakistan Humanitarian Forum (consortium),NGOs
Institute for War and Peace Reporting,NGOs
Reach Vulnerable,Other
Germany,DAC governments
Reach Out Initiative,NGOs
Cambodian Mine Action Centre,NGOs
Croatia,National government
Mexico,National government
Suwannimit Foundation,foundations
Pacific Islands Forum,Other multi
South Pacific Applied Geoscience Commission,Other multi
Paraguay,National government
Makassed Philanthropic Islamic Association of Beirut,NGOs
Mission Ost - DNK,NGOs
Stiftung St. Barbara,foundations
OXFAM Ireland,NGOs
Madagascar,National government
"International Nothilfe e.V., Coswig",NGOs
Japan Platform,Undefined
Refugee Consortium of Kenya,NGOs
Association pour le ProgrËs et la DÈfense des Droits des Femmes,other
Palestinian Farmers Association,academia/think/research
People Empowerment & Consulting Enterprise,NGOs
DAC - Danish Afghan Committee,NGOs
NGO Security Programme,NGOs
InformAction,NGOs
Child Rights Connect,NGOs
Crisis Action,NGOs
Nova - Centre per la InnovaciÛ Social / NOVACT,NGOs
Peace Brigades International,NGOs
World Vision Vanuatu,NGOs
Associazione Internazionale Volontari Laici,NGOs
AssistÍncia MÈdica Internacional (AMI),NGOs
SADEL,private sector corporations
Japan International Volunteer Center,NGOs
New Zealand Red Cross,red cross
OXFAM Australia,NGOs
Christian Solidarity International,NGOs
Business & Human Rights Resource Centre,NGOs
Arab Agronomist Association,NGOs
Tamer Institute for Community Education,NGOs
Palestinian Medical Relief Society,NGOs
Doctors of the World,NGOs
Tuvalu,National government
International Civil Aviation Organisation,UN Multi
National Oceanic and Atmospheric Administration,DAC governments
International Rice Research Institute,NGOs
Health Communication Capacity Collaborative,NGOs
Polish Humanitarian Organisation,NGOs
Foyer des Jeunes de Morne l'Hopital,NGOs
Nepal,National government
"Micronesia,  Federated States of",National government
Chile,National government
CARE Nepal,NGOs
Eng Oppen Hand fir Malawi,NGOs
Action pour un Monde Uni,NGOs
Japan Campaign for Children of Palestine,NGOs
Kachin Baptist Convention,NGOs
Myanmar Health Assistant Association,NGOs
Opportunities Industrialisation Centres International,NGOs
Himalayan Trust Nepal,NGOs
Association of Christian Resource Organizations Serving Sudan,NGOs
Global Network of Civil Society Orgs,private individual/organisation
Network on Humanitarian Assistance,academia/think/research
Enfants du Monde,NGOs
World Vision Pakistan,NGOs
Start Fund,NGOs
ActionAid International Nepal,NGOs
ACT Alliance / Lutheran World Relief (LWR/Canada),NGOs
PACTEC,NGOs
FORUT,NGOs
DIGNI,NGOs
Atlasalliansen,NGOs
Development Fund,NGOs
Association pour le dÈveloppement de M'Bres,NGOs
Association des Femmes pour la Promotion de l'Entreprenariat,NGOs
Action for Development,NGOs
Advocates Coalition for Rights and Development,NGOs
Joint Aid Management International,NGOs
Sign of Hope,NGOs
Fangak Community Development Initiative,NGOs
Foundation for the Refugee Trust,foundations
Community in Need Aid,NGOs
Impact Health Organization,NGOs
Shelter Now International,NGOs
Triyog Trust NZ,NGOS
MRCA - Medical Refresher Course for Afghan,NGOs
Food for the Hungry International,NGOs
Partner Aid International e.V.,NGOs
SWIFT - Society for Worldwide Interbank Financial Telecommunication,private sector corporations
El Salvador,National government
Famine Early Warning Sytem,academia/think/research
Air Serv International,NGOs
Swiss Disaster Relief Unit,DAC governments
MAGNA Medical and Nutrition Global Aid,NGOs
United Nations Assistance Mission for Afghanistan,UN Multi
Near East Council of Churches in Gaza,NGOs
Africa Centre for Holistic Management,private individual/organisation
Chemonics International Inc.,private sector corporations
German Toilet Organization e.V.,NGOs
International Network for Environmental Management,NGOs
Professionals in Humanitarian Assistance and Protection,NGOs
War Torn Societies,UN Multi
Organization for Voluntary Humanitarian Assistance Programme,NGOs
National Demining Units Organization,NGOs
Rural Focus,NGOs
Sudanese Organization for Relief and Recovery (formerly Sudanese Organization for Rehabilitation and Construction),NGOs
Turath Organization for Human Development,NGOs
GeoForschungsZentrum Potsdam,academia/think/research
Bundesanstalt Technisches Hilfswerk,DAC governments
Buddhist Tzu Chi Foundation,NGOs
National Democratic Institute for International Affairs/International Republican Institute,other
Health Equity Initiatives Sdn Bhd,NGOs
Parlement des Jeunes Rwandais,NGOs
Seeds of Peace,NGOs
International Eurasia Press Fund,NGOs
Academy for Educational Development,academia/think/research
Creative Association Inc.,private sector corporations
"Christian Children's Fund, USA",NGOs
World University Service,academia/think/research
MapAction,NGOs
ACT Alliance / Finnchurchaid/ Mines Advisory Group,NGOs
American Friends Service Committee,NGOs
Libya,National government
NOVIB,NGOs
Abs Development for Women and Children,NGOs
"Comoros Red Crescent, The",red cross
War Child,NGOs
Heifer International,NGOs
Christian Children's Fund of Canada,NGOs
Pearl of Africa Environment,NGOs
Wethaq Foundation for Civil Orientation,NGOs
Association Medina,NGOs
Fondation Hirondelle,foundations
Div. Assoc.,other
Afkar Society for Development and Human Relief,NGOs
AMAR International Charitable Foundation,NGOs
Rescue South Africa,NGOs
Khartoum Teaching Hospital,academia/think/research
Human Moral Care,NGOs
Hungary,National government
Academy Charity Teaching Hospital,academia/think/research
Global 2000 of the Carter Centre,academia/think/research
Myanmar Red Cross Society,red cross
GKST - Presbyterian Christian Church of Central Sulawesi,private individual/organisation
Aktion Afrika Hilfe,NGOs
One Step Further,NGOs
NGOs | UN Agencies | Red Cross Organizations,Undefined
Care for Children and Old Age in South Sudan,NGOs
GFZ German Research Centre,academia/think/research
Egyptian Red Crescent Society,red cross
Caribbean Disaster Emergency Management Agency,Other multi
Dominica Red Cross Society,red cross
Associate in Community Development,NGOs
Khwendo Kor,NGOs
Education Health Social Awareness and Rehabilitation,NGOs
Society for Human and Environmental Development,NGOs
Support Agency for Rural and Human Associationís Development,NGOs
FundaciÛn Plan,NGOs
Stiftung KARIBU Kinderhilfe,NGOs
UN Women's Guild,UN Multi
Remedial English and Science Course Centre,academia/think/research
Rockefeller Foundation,foundations
Norsk Journalistlag,Undefined
TERMA FOUNDATION,foundations
Union of Sudan African Parties,Other multi
Intergov Authority on Development,Other multi
Reform Society,other
World Assembly of Muslim Youth,private individual/organisation
Yemen Red Crescent Society,red cross
Swedish Free Mission,private individual/organisation
United Nations Global Pulse,UN Multi
Rotary Club of Shanghai,NGOs
Somalia Resilience Program,NGOs
United Nations Institute for Disarmament Research,UN Multi
Norwegian Capacity,NGOs
African Initatives for Relief and Development,NGOs
IHRA,Other multi
The Dui Hua Foundation,foundations
Kyrgyzstan,National government
Pharmaciens sans frontiËres (PSF),NGOs
Association Agropastorale de NDA,NGOs
ACBAR - Agency Coordinating Body for Afghan Relief,NGOs
Vetwork Services Trust,Undefined
Secretariado Diocesano de Pastoral Social,NGOs
GlobalMedic,NGOs
The Israel Forum for International Humanitarian Aid,NGOs
Architectes de l'urgence,foundations
Real Medicine Foundation,NGOs
Pan American Development Foundation,NGOs
International Islamic Relief Organization,NGOs
Yemeni Social Reform Society,other
The SEEP Network,academia/think/research
Geohazards International,NGOs
Fashoda Youth Forum,NGOs
UN Department of Economic and Social Affairs,UN Multi
American Jewish Joint Distribution Committee,private individual/organisation
Action for Peace and Sustainable Development,NGOs
Save Youth Future Society,NGOs
EducAid Onlus,NGOs
OVERSEAS-Onlus,NGOs
Agricultural Development Association,NGOs
Community Peace Fund,other
Support to Life,NGOs
Abdel Mohsen Qattan Foundation,foundations
World Vision Ethiopia,NGOs
Monastery Saint James the Mutilated,NGOs
ABAAD-Resource Center for Gender Equality,NGOs
Rebuild Iraq Recruitment Program,NGOs
"Rehabilitation, Education And Community Health",NGOs
Gedo Women Development Organization,other
Soul for Development,NGOs
Association LRC,Undefined
Relief and Humanitarian Aid Organisation in Dar al Fatwa,NGOs
Himaya Daee Aataa Association,NGOs
Person in Need Relief Mission,NGOs
Centre Libanais des Droits Humains,NGOs
ASSABIL,NGOs
Akkar Network for Development,NGOs
Makhzoumi Foundation,NGOs
Mena Organization for Services Advocacy integration and Capacity Building,NGOs
Agency for Assistance and Development of Afghanistan,NGOs
Organization for Research and Community Development,NGOs
Rural Development Initiative South Sudan,NGOs
Rural Community Action for Peace and Development,NGOs
The National Institution of Social Care and Vocational Training,NGOs
Community Development Association,NGOs
Global Family,NGOs
Tahaddi & Apprentis d'Auteuils,NGOs
"Institute for Development, Research, Advocacy and Applied Care",NGOs
Halte Aux Mines Antipersonnel,NGOs
European Meeting Centre - Nowy Staw Foundation,foundations
Humanitarian Quality Assurance Initiative,NGOs
Hujra Village Support Organization,NGOs
Tunisian Red Crescent,red cross
Ministry of Education and Higher Education,National government
Human Appeal International (UAE),NGOs
World Vision  Netherlands,NGOs
United Nations Disaster Management Team,UN Multi
Jordanian National Commission for Women,National government
U.S. Forest Service,DAC governments
Oman,National government
Myanmar Heart Development Organization,NGOs
Estonian Refugee Council,NGOs
NGO Ukrainian Cultural Center,NGOs
NGO Free Ukraine,NGOs
Asociacion Ben por la Infancia,NGOs
Brigadas Internacionales de Paz,NGOs
Panama,National government
Manos Unidas,NGOs
FundaciÛn Ojos del Mundo,NGOs
Centro de Estudios Rurales y de Agricultura Internacional,NGOs
AsociaciÛn de Trabajadores y Tecnicos Sin Fronteras,NGOs
Evangelisches Werk f¸r Diakonie und Entwicklung e.V.,NGOs
Focus Humanitarian Assistance,NGOs
AsociaciÛn ONGD Cives Mundi,NGOs
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",NGOs
Les Amis du Tibet,private individual/organisation
Friendship Luxembourg,NGOs
Tajik Aid,NGOs
Women Now for Development,NGOs
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),EC
Standard Alliance,NGOs
Refugee Studies Centre,academia/think/research
Association Help -Tchad pour le dÈveloppement,NGOs
Caritas Niger/Caritas DÈveloppement Niger,NGOs
Islamic Charity Society Center,NGOs
Bahrain Islamic Association,NGOs
Al-Gharaa Charity Organization,NGOs
Islamic Medical Association,private individual/organisation
Build Change,NGOs
Sharjah Charity House,private individual/organisation
Khalifa Bin Zayed Al Nahyan Foundation,foundations
ONGD - FNEL,NGOs
Young Menís Christian Association,NGOs
Basmeh and Zeitooneh for Relief and Development - G¸l¸mseme ve zeytin,NGOs
Community Agribusiness Development Agency,NGOs
Myanmar Nurse and Midwife Association,NGOs
Palestinian Housing Council,NGOs
Association for Integrated Rural Development,NGOs
Ligue de la Zone Afrique pour la DÈfense des Droits des Enfants et ElËves,NGOs
Association for Environment Management and Development,NGOs
Association pour le DÈveloppement de Sila,other
Centre d'Appui aux Initiatives de DÈveloppement Local,other
"Mission 21, Basle",private individual/organisation
Solidarmed,NGOs
SUKS - Schweizerisches Unterst¸tzungskomitee f¸r die Sahraouis,other
Maison Shalom Ruyigi,NGOs
United Nations Volunteers Programme,UN Multi
Hogar de Cristo Santiago,NGOs
Leprosy Aid Switzerland,NGOs
SDW,other
Red Crescent Society of Tajikistan,red cross
The New Humanitarian (formerly Integrated Regional Information Network),academia/think/research
Culture and Free Thought Association,NGOs
Jiyan Foundation for Human Rights,foundations
TAJDID Iraq¬†Foundation for Economic Development,NGOs
The United Iraqi Medical Society for Relief and Development,NGOs
Al-Khanjar Foundation,NGOs
Aman Jordanian Association,NGOs
Jordan paramedic society,NGOs
Syrian American Medical Society Foundation,NGOs
Rwandan Red Cross,red cross
International Commission for Human Development,NGOs
International Maize and Wheat Improvement Center,academia/think/research
UNICEF National Committee/Spain,UN Multi
OIP - Office of the Iraq Programme,Other multi
Greece,DAC governments
Waqf Alrahma Alkhairi,NGOs
Kuwaiti Social Reform Society,private individual/organisation
Syrian Society for Social Development,NGOs
Attaa Relief and Development,NGOs
Union Relief Societies,NGOs
Charity Abrar Society,NGOs
Youth Society,NGOs
ChrÈtiens pour le Sahel,NGOs
International Campaign to Abolish Nuclear Weapons (ICAN),NGOs
Japanese Organization for International Cooperation in Family Planning (JOICFP),NGOs
LÈger Foundation,foundations
Japan,DAC governments
Buco Cotonou,DAC governments
Africa Relief Committee,Undefined
Association Elyed Eloulya pour líAide des Necessiteux et la Protection des Enfants,Undefined
Reach out Foundation for Human Development,private sector corporations
Sri Lankan Merciful,Undefined
Fondacioni Miresia,Undefined
Nurture and Reform Organization,Undefined
Society for Social & Technological Support,NGOs
Islah Foundation For Society Development,NGOs
Human Foundation for Social and Educational Development Inc.,NGOs
Care and Social Development Organization,NGOs
Svenska Missionsradet,NGOs
Ramakrishna Mission,NGOs
International Centre for Migration Policy Development,academia/think/research
Enfants du Monde - Droits de l'Homme,NGOs
REST - Relief Society of Tigray,NGOs
Consortium for Assistance to Refugees and the Displaced in Indonesia,NGOs
ArtemissziÛ Foundation,NGOs
Hungarian Charity Organization of the Order of Malta,NGOs
Hungarian Hydrology Association,NGOs
Support Agency for Rural & Human Association's Development,NGOs
Al-Bir Wa Al-Ehsan Association in Ras AlAin (Al-Bir Wa Al-Ehsan in Ras AlAin),Undefined
Alinshat Area  Association (Inshaat),NGOs
Circassian Charity Association,NGOs
Greek Orthodox Patriarchate of Antioch and all of the East,Undefined
Syria Trust for Development,NGOs
Middle East Childrenís Institute,NGOs
KFW Development,DAC governments
Solidar Suisse,NGOs
CARE Ecuador,NGOs
BUKKEHAVE,private sector corporations
La Strada International / Open Gate,NGOs
Macedonian Young Lawyers Association (MYLA),NGOs
NOSTOS - Organisation for Social Integration,NGOs
Solidarity Now,NGOs
Macedonian Red Cross,red cross
Caritas Hellas - Caritas Greece,NGOs
KSPM-ERP Integration Centre for Migrant Workers - Ecumenical Refugee Program,NGOs
Nun Kultura,NGOs
Macedonia Centre for International Cooperation,NGOs
Render Effective Aid to CHildren,Undefined
Development Alternatives Inc.,private sector corporations
Taiwan Red Cross Society,red cross
LEGIS,NGOs
ARSIS Association for the Social Support of Youth,NGOs
Caritas Athens,NGOs
Norwegian Society for Sea Rescue,NGOs
Irish Red Cross Society,red cross
HumaniTerra International,NGOs
Heevie Kurdistan Development,NGOs
United Foundation for Relief and Abiding Development,NGOs
KAALO Relief and Development Organisation,NGOs
GRET,NGOs
Al Afia Fund Charity,NGOs
Al-Birr Association for Charity and Social Services,NGOs
Al Taalouf Charity Association,Undefined
Business Incubation Association in Tripoli,NGOs
Dolphin for Development,Undefined
Women's Affairs Center,academia/think/research
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,NGOs
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,NGOs
Istituto Oikos onlus,NGOs
Centro Sviluppo Terzo Mondo Onlus,NGOs
Associazione SolidarietÌ† e lo Sviluppo - Confederazione Italiana Agricoltori,NGOs
Italian Agency for Development Cooperation,DAC governments
Organisation of the Islamic Conference,Other multi
Argentina,National government
International Humanitarian Relief,NGOs
Centro Internazionale per l'Infanzia e la Famiglia,NGOs
Ente Nazionale Giuseppini del Murialdo,NGOs
Instituto per la Cooperazione Universitaria Onlus,NGOs
Associazione Italiana per la SolidarietÌ† tra I Popoli,NGOs
Media Action Intl.,NGOs
Voluntary Organisations in Cooperation in Emergencies,NGOs
Plan Niger,NGOs
Tanganyika Christian Refugee Service,NGOs
Tanzania Red Cross National Society,red cross
Water Missions International,NGOs
Smile Again Africa Development Organization,NGOs
Development and Inter-Church Aid Commission,NGOs
ASSIST,Undefined
Hilfswerk Liechtenstein,NGOs
Liechtenstein Red Cross,red cross
Kreuz des S¸dens,NGOs
Lazarus-Hilfswerk e.V.,NGOs
AiBi Associazione Amici dei Bambini,NGOs
Association Arbre de Vie,Undefined
Caritas Centrafricaine,NGOs
Main dans la Main pour l'Assistance Humanitaire et le DÈveloppement Durable,NGOs
Italy,DAC governments
Habitat for Humanity Fiji,NGOs
Centre for Humanitarian Dialogue,private sector corporations
Syria Relief,NGOs
Cultivating New Frontiers in Agriculture,NGOs
Life Makers Meeting Place Organization,NGOs
Al-Atta Institution for Social Development and Charity,NGOs
Kofi Annan Foundation,foundations
Fonds díIntervention pour le DÈveloppement,NGOs
Asia Humanitarian Organization,NGOs
Comprehensive Health and Education Forum International,NGOs
Foundation for Rural Development,NGOs
Frontier Organization for Reforms and Transformation,NGOs
Humanitarian Organization for Poverty Elimination,NGOs
Kamore Development Welfare Organization,NGOs
Pakhtunkhwa Rural Support Program,NGOs
LASOONA - Society for Human and Natural Resource Development,NGOs
Philanthrope,NGOs
Poverty Alliance Welfare Trust,NGOs
Sanjh Preet Organization,NGOs
Society for Appraisal and Women Empowerment in Rural Areas,NGOs
Women Concerns Organization,NGOs
RABT Development Organization,NGOs
Islamic Charity Association - Aoun for relief and Development,Undefined
Namibia,National government
Syria Relief and Development,NGOs
Canadian Food Grains Bank,NGOs
Humanitarian Outcomes,academia/think/research
Kazakhstan,National government
Groupe de Secours Catastrophes Francais,NGOs
Malagasy Red Cross Society,red cross
Icelandic Red Cross,red cross
